sequence,repeat,cutoff,candidate_count,elapsed_ns,elapsed_ms
1853,2,50,50,1022451570,1022.451570
1854,2,10,10,197309861,197.309861
1855,2,30,30,610110374,610.110374
1856,2,20,20,410675696,410.675696
1857,2,10,10,188717968,188.717968
1858,2,50,50,980337531,980.337531
1859,2,20,20,379593363,379.593363
1860,2,30,30,586942585,586.942585
1861,2,10,10,195387958,195.387958
1862,2,30,30,607350686,607.350686
1863,2,50,50,1004168013,1004.168013
1864,2,20,20,409161854,409.161854
1865,2,20,20,412005098,412.005098
1866,2,30,30,611258003,611.258003
1867,2,50,50,1025658039,1025.658039
1868,2,10,10,195866421,195.866421
1869,2,20,20,407222257,407.222257
1870,2,10,10,195579660,195.579660
1871,2,30,30,603008967,603.008967
1872,2,50,50,1027131294,1027.131294
1873,2,50,50,1000564838,1000.564838
1874,2,20,20,407777285,407.777285
1875,2,10,10,186766748,186.766748
1876,2,30,30,603319344,603.319344
1877,2,20,20,439574739,439.574739
1878,2,50,50,1094890022,1094.890022
1879,2,30,30,656120815,656.120815
1880,2,10,10,219000757,219.000757
1881,2,30,30,658932351,658.932351
1882,2,50,50,1101176957,1101.176957
1883,2,20,20,440336979,440.336979
1884,2,10,10,221840867,221.840867
1885,2,50,50,1104020221,1104.020221
1886,2,30,30,672256870,672.256870
1887,2,20,20,444373010,444.373010
1888,2,10,10,221730147,221.730147
1889,2,30,30,607820962,607.820962
1890,2,50,50,1011184823,1011.184823
1891,2,20,20,409458071,409.458071
1892,2,10,10,187059240,187.059240
1893,2,50,50,1075928382,1075.928382
1894,2,30,30,608662934,608.662934
1895,2,20,20,407729945,407.729945
1896,2,10,10,196383568,196.383568
1897,2,10,10,195835011,195.835011
1898,2,50,50,1056942718,1056.942718
1899,2,30,30,614466274,614.466274
1900,2,20,20,411362521,411.362521
1901,2,20,20,393703166,393.703166
1902,2,50,50,1071939138,1071.939138
1903,2,10,10,195926935,195.926935
1904,2,30,30,592585248,592.585248
1905,2,10,10,208878500,208.878500
1906,2,50,50,1021647189,1021.647189
1907,2,20,20,411278132,411.278132
1908,2,30,30,611890915,611.890915
1909,2,10,10,197811177,197.811177
1910,2,20,20,396441682,396.441682
1911,2,50,50,1023114833,1023.114833
1912,2,30,30,613223423,613.223423
1913,2,30,30,588395105,588.395105
1914,2,50,50,1006911319,1006.911319
1915,2,10,10,178026935,178.026935
1916,2,20,20,393951735,393.951735
1917,2,20,20,428611069,428.611069
1918,2,10,10,211625573,211.625573
1919,2,30,30,644039281,644.039281
1920,2,50,50,1096529183,1096.529183
1921,3,50,50,1027310283,1027.310283
1922,3,20,20,414332555,414.332555
1923,3,30,30,613528259,613.528259
1924,3,10,10,196691310,196.691310
1925,3,10,10,195713711,195.713711
1926,3,30,30,603279122,603.279122
1927,3,20,20,393438484,393.438484
1928,3,50,50,1022923518,1022.923518
1929,3,30,30,614154371,614.154371
1930,3,50,50,1056667171,1056.667171
1931,3,20,20,412750924,412.750924
1932,3,10,10,210827553,210.827553
1933,3,20,20,439385067,439.385067
1934,3,10,10,211135065,211.135065
1935,3,50,50,1113300867,1113.300867
1936,3,30,30,669049231,669.049231
1937,3,30,30,608711771,608.711771
1938,3,50,50,1008296174,1008.296174
1939,3,20,20,409915694,409.915694
1940,3,10,10,184442422,184.442422
1941,3,30,30,648123490,648.123490
1942,3,50,50,1075827552,1075.827552
1943,3,10,10,219829231,219.829231
1944,3,20,20,444492271,444.492271
1945,3,50,50,1007927054,1007.927054
1946,3,30,30,560076364,560.076364
1947,3,20,20,379880040,379.880040
1948,3,10,10,188629127,188.629127
1949,3,30,30,578396809,578.396809
1950,3,20,20,380127708,380.127708
1951,3,50,50,985597198,985.597198
1952,3,10,10,190100027,190.100027
1953,3,20,20,412367628,412.367628
1954,3,30,30,612029081,612.029081
1955,3,10,10,209701854,209.701854
